user_id,login_time,failed_attempts,new_ip,new_device,device,location,vpn_used,proxy_used,login_successful,account_age_days,suspicious_activity,is_risky
16795,01-01-2024 00:00,5,0,1,Mac,USA,1,1,1,842,0,0
1860,01-01-2024 00:01,5,0,0,Tablet,Australia,0,0,1,2549,0,0
77820,01-01-2024 00:02,6,0,0,Mobile,Canada,0,0,1,2418,0,1
55886,01-01-2024 00:03,6,0,1,Windows,Germany,0,1,1,732,0,0
7265,01-01-2024 00:04,0,1,1,Mobile,India,0,0,1,1965,0,1
83386,01-01-2024 00:05,7,1,1,Linux,India,0,0,1,1896,0,0
38194,01-01-2024 00:06,0,1,1,Mobile,Canada,0,0,1,1438,0,0
88498,01-01-2024 00:07,8,1,0,Windows,USA,0,1,1,1609,1,0
45131,01-01-2024 00:08,3,1,0,Tablet,Canada,1,0,1,327,0,1
61263,01-01-2024 00:09,8,1,0,Mobile,UK,1,0,1,890,0,0
17023,01-01-2024 00:10,7,1,1,Mobile,Germany,1,1,1,2825,0,0
42090,01-01-2024 00:11,8,0,1,Windows,USA,1,0,1,1060,0,0
68221,01-01-2024 00:12,5,0,0,Linux,UK,1,0,1,2553,0,0
65820,01-01-2024 00:13,8,0,0,Mobile,UK,0,0,1,2666,1,1
1769,01-01-2024 00:14,3,1,1,Linux,USA,0,0,0,3549,0,0
60735,01-01-2024 00:15,2,1,0,Tablet,Germany,0,1,1,2948,0,0
63955,01-01-2024 00:16,2,0,1,Tablet,Canada,0,0,1,1932,0,0
65925,01-01-2024 00:17,7,1,1,Mac,Germany,0,0,1,1155,0,0
68969,01-01-2024 00:18,1,0,0,Linux,USA,0,0,1,3036,0,0
6311,01-01-2024 00:19,5,1,1,Linux,Germany,1,0,1,2157,1,1
84104,01-01-2024 00:20,8,1,1,Mobile,UK,1,1,1,2962,0,1
54707,01-01-2024 00:21,8,0,0,Windows,USA,0,0,1,185,0,0
86305,01-01-2024 00:22,7,1,0,Windows,Canada,0,0,1,1137,0,0
29693,01-01-2024 00:23,7,0,1,Tablet,UK,1,0,1,637,0,0
72932,01-01-2024 00:24,0,0,0,Linux,Germany,1,1,1,1817,0,0
94016,01-01-2024 00:25,6,1,0,Tablet,Canada,1,1,1,2247,0,0
26658,01-01-2024 00:26,0,0,0,Linux,USA,0,0,1,1499,0,0
85478,01-01-2024 00:27,8,1,1,Linux,Australia,1,1,1,647,0,1
19431,01-01-2024 00:28,2,1,0,Tablet,Australia,1,1,1,3100,0,0
3747,01-01-2024 00:29,0,0,1,Linux,UK,1,1,1,2578,0,1
60150,01-01-2024 00:30,7,0,1,Mobile,India,0,0,1,2404,0,0
66725,01-01-2024 00:31,6,1,1,Linux,Canada,1,0,1,826,0,0
85654,01-01-2024 00:32,1,1,1,Mac,Germany,0,1,1,1828,0,0
36773,01-01-2024 00:33,6,0,0,Linux,UK,0,1,1,259,0,1
68435,01-01-2024 00:34,4,1,0,Windows,Canada,1,0,1,3361,0,0
57886,01-01-2024 00:35,6,0,0,Mac,USA,0,1,1,1034,1,0
67803,01-01-2024 00:36,9,1,1,Mobile,UK,1,0,1,3612,0,0
32551,01-01-2024 00:37,6,0,0,Linux,UK,1,0,1,1659,0,0
12394,01-01-2024 00:38,1,0,0,Tablet,India,0,0,1,3444,1,0
70092,01-01-2024 00:39,1,1,1,Tablet,UK,0,1,1,898,0,0
4890,01-01-2024 00:40,6,0,1,Mac,India,1,0,1,3397,0,1
42606,01-01-2024 00:41,2,1,1,Mobile,Canada,1,1,1,1959,1,0
97276,01-01-2024 00:42,3,1,0,Linux,Canada,0,0,1,1774,0,0
81038,01-01-2024 00:43,6,0,0,Mobile,Canada,1,0,0,843,0,0
88313,01-01-2024 00:44,1,0,0,Windows,Australia,0,0,1,2742,0,1
11627,01-01-2024 00:45,1,1,0,Mac,India,1,0,1,3379,0,0
9792,01-01-2024 00:46,8,0,1,Windows,Australia,1,1,1,1256,0,0
74969,01-01-2024 00:47,0,0,1,Mac,Canada,0,0,1,2415,0,0
44001,01-01-2024 00:48,2,1,0,Tablet,Canada,1,0,1,2910,0,0
77552,01-01-2024 00:49,9,0,1,Mobile,USA,1,1,1,2614,0,0
24897,01-01-2024 00:50,3,1,0,Mobile,Germany,0,0,1,2302,1,1
69148,01-01-2024 00:51,4,0,1,Mobile,India,0,0,1,2689,0,0
24483,01-01-2024 00:52,2,0,1,Windows,Australia,0,1,1,1044,0,0
49555,01-01-2024 00:53,8,0,0,Linux,USA,0,1,1,822,0,1
18159,01-01-2024 00:54,4,1,1,Linux,UK,1,0,1,536,0,0
81077,01-01-2024 00:55,6,0,1,Windows,India,1,0,1,600,0,1
36920,01-01-2024 00:56,6,0,0,Tablet,UK,1,1,1,1439,0,0
93067,01-01-2024 00:57,8,1,1,Linux,Canada,0,0,1,3321,0,0
68121,01-01-2024 00:58,1,1,1,Tablet,India,1,0,1,1238,1,0
70479,01-01-2024 00:59,2,1,1,Mobile,UK,0,0,1,2067,0,1
90475,01-01-2024 01:00,3,0,1,Windows,Germany,1,0,0,2112,0,0
20457,01-01-2024 01:01,7,1,1,Mobile,Germany,0,1,0,1865,0,0
67557,01-01-2024 01:02,0,1,0,Mobile,Australia,0,0,1,1133,1,0
78189,01-01-2024 01:03,8,1,1,Tablet,Canada,1,0,1,2613,0,0
79953,01-01-2024 01:04,4,0,1,Linux,India,1,1,1,2051,0,0
